id,name,face,unicode,level,emotion
1,Slightly smiling face,🙂,U+1F642,2,mild, polite happiness
2,Smiling face,☺️,U+263A,3,warm, classic smile
3,Smiling face with big eyes,😃,U+1F603,4,excited joy,
4,Smiling face with smiling eyes,😄,U+1F604,4,heartfelt happiness,
5,Beaming face with smiling eyes,😁,U+1F601,5,extreme joy,
6,Smiling face with tears,😅,U+1F605,3,relieved/laughing under stress,
7,Grinning face,😆,U+1F606,4,playful laughter,
8,Rolling on the floor laughing,🤣,U+1F923,5,uncontrollable laughter,
9,Lauging with tears,😂,U+1F602,5,overwhelmed by humor,
10,Upside down face,🙃,U+1F643,2,silly/ironic, 
11,Winking face,😉,U+1F609,2,playful tease,
12,Smiling face with halo,😇,U+1F607,1,innocent/peaceful,
13,Smiling face with sunglasses,😎,U+1F60E,2,cool/confident,
14,Nerdy face,🤓,U+1F913,1,intellectual,
15,Face with monocle,🧐,U+1F9D0,1,curious/skeptical,
16,Partying face,🥳,U+1F973,5,extreme celebration,
17,Smiling face with hearts,🥰,U+1F970,4,loving adoration,
18,Smiling face with heart eyes,😍,U+1F60D,5,deep infatuation,
19,Star-struck,🤩,U+1F929,5,awestruck admiration,
20,Face blowing kiss,😘,U+1F618,4,affectionate,
21,Kissing face,😗,U+1F617,3,neutral kiss,
22,Kissing face with closed eyes,😚,U+1F61A,4,romantic kiss,
23,Kissing face with smiling eyes,😙,U+1F619,3,friendly kiss,
24,Yummy face,😋,U+1F60B,3,playful enjoyment,
25,Face with tongue,😛,U+1F61B,2,cheeky/silly,
26,Winking face with tongue,😜,U+1F61C,3,mischievous,
27,Zany face,🤪,U+1F92A,4,wild/goofy,
28,Squinting face with tongue,😝,U+1F61D,3,exaggerated silliness,
29,Money face with money tongue,🤑,U+1F911,3,greedy excitement,
30,Hugs,🤗,U+1F917,3,warm affection,
31,Face with hand in mouth,🤭,U+1F92D,2,shy/surprised,
32,Shushing face,🤫,U+1F92B,2,secretive,
33,Thinking face,🤔,U+1F914,1,pensive/neutral,
34,Neutral face,😐,U+1F610,1,no emotion,
35,Zipped mouth,🤐,U+1F910,1,silent,
36,Face with raised eyebrow,🤨,U+1F928,2,skeptical,
37,Expressionless face,😑,U+1F611,1,blank,
38,Face with no mouth,😶,U+1F636,1,speechless,
39,Smirking face,😏,U+1F60F,2,sly/smug,
40,Unamused face,😒,U+1F612,2,annoyed,
41,Face with rolling eyes,🙄,U+1F644,2,dismissive,
42,Grimacing face,😬,U+1F62C,3,discomfort,
43,Lying face,🤥,U+1F925,3,deceptive,
44,Sleepy face,😪,U+1F62A,2,tired,
45,Sleeping face,😴,U+1F634,1,asleep,
46,Relieved face,😌,U+1F60C,3,calm/content,
47,Pensive face,😔,U+1F614,2,reflective sadness,
48,Drooling face,🤤,U+1F924,2,desire (e.g., food)
49,Face with mask,😷,U+1F637,2,sick/cautious,
50,Face with thermometer,🤒,U+1F912,3,ill,
51,Face with bandage,🤕,U+1F915,3,injured,
52,Nauseous face,🤢,U+1F922,4,sick/disgusted,
53,Vomiting face,🤮,U+1F92E,5,extreme disgust,
54,Sneezing face,🤧,U+1F927,2,allergies/cold,
55,Hot face,🥵,U+1F975,4,overheated,
56,Cold face,🥶,U+1F976,4,freezing,
57,Woozy face,🥴,U+1F974,3,dizzy/confused,
58,Face with crossed-out eyes,😵,U+1F635,4,dead/dizzy,
59,Face with exploding head,🤯,U+1F92F,5,mind-blown,
60,Confused face,😕,U+1F615,3,puzzled,
61,Worried face,😟,U+1F61F,3,anxious,
62,Slightly frowning face,🙁,U+1F641,2,mild sadness,
63,Frowning face,☹️,U+2639,3,sad,
64,Face with open mouth,😮,U+1F62E,3,surprised,
65,Hushed face,😯,U+1F62F,3,shocked,
66,Astonished face,😲,U+1F632,4,amazed,
67,Flushed face,😳,U+1F633,4,embarrassed,
68,Begging face,🥺,U+1F97A,4,pleading,
69,Frowning face with open mouth,😦,U+1F626,4,distressed,
70,Anguished face,😧,U+1F627,5,extreme distress,
71,Fearful face,😨,U+1F628,5,scared,
72,Anxious face with sweat,😰,U+1F630,4,nervous,
73,Sad but relieved face,😥,U+1F625,3,tearful relief,
74,Crying face,😢,U+1F622,4,sad tears,
75,Loudly crying face,😭,U+1F62D,5,hysterical crying,
76,Screaming face,😱,U+1F631,5,terror,
77,Confounded face,😖,U+1F616,4,frustrated,
78,Persevering face,😣,U+1F623,4,struggling,
79,Disappointed face,😞,U+1F61E,3,let down,
80,Downcast face with sweat,😓,U+1F613,3,stressed,
81,Weary face,😩,U+1F629,4,exhausted,
82,Tired face,😫,U+1F62B,3,fatigued,
83,Yawning face,🥱,U+1F971,2,sleepy,
84,Face with steam,😤,U+1F624,4,fuming,
85,Pouting face,😡,U+1F621,5,rage,
86,Angry face,😠,U+1F620,4,angry,
87,Face with symbols on mouth,🤬,U+1F92C,5,cursing,
88,Smiling face with horns,😈,U+1F608,3,mischievous evil,
89,Angry face with horns,👿,U+1F47F,5,demonic rage,
90,Skull,💀,U+1F480,3,death/dark humor,
91,Skull and cross-bone,☠️,U+2620,4,danger/death,
